
=== regrag-local-undesirable-singapore-safety-20260918T053358Z  (25% of each dataset, seed 20260916)
2026-09-18 11:07:21,325 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-src... (1/1)
2026-09-18 11:07:21,328 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-18 11:07:21,331 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-18 11:07:21,332 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:07:21,332 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-18 11:07:21,332 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-18 11:07:35,854 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:07:35,865 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:07:35,908 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:07:38,635 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:07:41,145 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:07:43,356 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
2026-09-18 11:07:44,154 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:07:46,298 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 24.9722s
2026-09-18 11:07:46,299 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0000s
2026-09-18 11:07:46,304 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0044s
2026-09-18 11:07:46,306 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-src-20260918t053721z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-ssh-20260918T053746Z  (5% of each dataset, seed 20260916)
2026-09-18 11:07:46,327 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-ssh-20260918t053746z - Running benchmark recipe run...
2026-09-18 11:07:46,333 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-ssh'])...
2026-09-18 11:07:46,333 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-ssh... (1/1)
2026-09-18 11:07:46,336 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-18 11:07:46,341 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-18 11:07:46,341 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:07:46,341 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-18 11:07:46,341 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-18 11:08:03,686 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:08:03,701 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:08:03,784 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:08:05,021 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:08:07,184 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:08:09,396 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
2026-09-18 11:08:10,154 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:08:10,911 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 24.5780s
2026-09-18 11:08:10,914 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0001s
2026-09-18 11:08:10,920 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0061s
2026-09-18 11:08:10,922 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-ssh-20260918t053746z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-sxc-prn-20260918T053810Z  (5% of each dataset, seed 20260916)
2026-09-18 11:08:10,946 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-sxc-prn-20260918t053810z - Running benchmark recipe run...
2026-09-18 11:08:10,950 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-sxc-prn'])...
2026-09-18 11:08:10,950 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-sxc-prn... (1/1)
2026-09-18 11:08:10,954 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-18 11:08:10,960 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-18 11:08:10,960 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:08:10,960 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-18 11:08:10,960 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-18 11:08:25,801 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:08:25,813 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:08:25,861 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:08:28,928 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:08:29,681 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:08:32,201 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
2026-09-18 11:08:33,039 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:08:33,842 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 22.8922s
2026-09-18 11:08:33,844 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0001s
2026-09-18 11:08:33,848 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0043s
2026-09-18 11:08:33,850 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-sxc-prn-20260918t053810z - Benchmark recipe run completed.

=== regrag-local-undesirable-mlc-ailuminate-vcr-20260918T053833Z  (5% of each dataset, seed 20260916)
2026-09-18 11:08:33,874 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-mlc-ailuminate-vcr-20260918t053833z - Running benchmark recipe run...
2026-09-18 11:08:33,878 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-ailuminate-vcr'])...
2026-09-18 11:08:33,878 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-ailuminate-vcr... (1/1)
2026-09-18 11:08:33,881 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-18 11:08:33,886 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-18 11:08:33,886 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:08:33,886 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-18 11:08:33,886 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-18 11:08:49,469 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:08:49,485 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:08:49,533 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:08:50,721 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:08:51,462 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:08:52,041 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
2026-09-18 11:08:54,149 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 4.
2026-09-18 11:08:54,892 [INFO][benchmarking.py::generate(203)] [Benchmarking] Run took 21.0143s
2026-09-18 11:08:54,895 [INFO][benchmarking.py::generate(258)] [Benchmarking] Preparing results took 0.0001s
2026-09-18 11:08:54,902 [INFO][benchmarking-result.py::generate(58)] [BenchmarkingResult] Generate results took 0.0068s
2026-09-18 11:08:54,903 [INFO][runner.py::run_recipes(375)] [Runner] regrag-local-undesirable-mlc-ailuminate-vcr-20260918t053833z - Benchmark recipe run completed.
